Crime,Delay,Count
ADMINISTRATIVE CODE,729,1
ADMINISTRATIVE CODE,731,1
ASSAULT 3 & RELATED OFFENSES,721,1
ASSAULT 3 & RELATED OFFENSES,722,1
ASSAULT 3 & RELATED OFFENSES,724,1
ASSAULT 3 & RELATED OFFENSES,725,1
ASSAULT 3 & RELATED OFFENSES,728,1
ASSAULT 3 & RELATED OFFENSES,730,29
ASSAULT 3 & RELATED OFFENSES,731,37
ASSAULT 3 & RELATED OFFENSES,732,6
ASSAULT 3 & RELATED OFFENSES,734,1
ASSAULT 3 & RELATED OFFENSES,736,1
ASSAULT 3 & RELATED OFFENSES,738,1
ASSAULT 3 & RELATED OFFENSES,739,2
BURGLARY,730,4
BURGLARY,731,9
BURGLARY,732,1
BURGLARY,733,2
BURGLARY,738,2
BURGLARY,739,1
CRIMINAL MISCHIEF & RELATED OF,721,2
CRIMINAL MISCHIEF & RELATED OF,722,7
CRIMINAL MISCHIEF & RELATED OF,723,3
CRIMINAL MISCHIEF & RELATED OF,724,1
CRIMINAL MISCHIEF & RELATED OF,725,1
CRIMINAL MISCHIEF & RELATED OF,726,4
CRIMINAL MISCHIEF & RELATED OF,727,3
CRIMINAL MISCHIEF & RELATED OF,728,3
CRIMINAL MISCHIEF & RELATED OF,729,3
CRIMINAL MISCHIEF & RELATED OF,730,29
CRIMINAL MISCHIEF & RELATED OF,731,36
CRIMINAL MISCHIEF & RELATED OF,732,22
CRIMINAL MISCHIEF & RELATED OF,733,1
CRIMINAL MISCHIEF & RELATED OF,734,2
CRIMINAL MISCHIEF & RELATED OF,736,2
CRIMINAL MISCHIEF & RELATED OF,737,3
CRIMINAL MISCHIEF & RELATED OF,739,3
CRIMINAL TRESPASS,730,1
CRIMINAL TRESPASS,731,3
DANGEROUS DRUGS,728,1
DANGEROUS DRUGS,730,10
DANGEROUS DRUGS,731,7
DANGEROUS DRUGS,732,1
DANGEROUS DRUGS,736,1
DANGEROUS DRUGS,737,1
DANGEROUS WEAPONS,730,10
DANGEROUS WEAPONS,731,6
FELONY ASSAULT,730,12
FELONY ASSAULT,731,6
FELONY ASSAULT,732,2
FELONY ASSAULT,733,2
FELONY ASSAULT,737,1
FORGERY,722,1
FORGERY,724,1
FORGERY,725,1
FORGERY,730,1
FORGERY,731,3
FRAUDS,721,3
FRAUDS,722,4
FRAUDS,723,3
FRAUDS,725,3
FRAUDS,726,4
FRAUDS,728,1
