Date,Counts
1/1/1948,1
1/1/1970,1
1/1/1971,1
1/1/1972,1
1/1/1973,1
1/1/1974,1
1/1/1975,1
1/1/1977,1
1/1/1978,2
1/1/1984,1
1/1/1985,1
1/1/1986,2
1/1/1988,3
1/1/1989,2
1/1/1990,5
1/1/1991,6
1/1/1992,9
1/1/1993,11
1/1/1994,14
1/1/1995,13
1/1/1996,14
1/1/1997,15
1/1/1998,37
1/1/1999,58
1/1/2000,86
1/1/2001,100
1/1/2002,129
1/1/2003,148
1/1/2004,159
1/1/2005,240
1/1/2006,329
1/1/2007,452
1/1/2008,2268
1/1/2009,2033
1/1/2010,2343
1/1/2011,2253
1/1/2012,2025
1/1/2013,2030
1/1/2014,2211
1/1/2015,1771
1/2/1990,1
1/2/1998,1
1/2/2000,3
1/2/2001,3
1/2/2002,9
1/2/2003,1
1/2/2004,6
1/2/2005,6
1/2/2006,15
1/2/2007,40
1/2/2008,1260
1/2/2009,1343
1/2/2010,1178
1/2/2011,996
1/2/2012,1213
1/2/2013,1189
1/2/2014,1099
1/2/2015,1029
1/3/1984,1
1/3/1991,1
1/3/1995,1
1/3/1997,1
1/3/2001,1
1/3/2003,1
1/3/2004,1
1/3/2005,7
1/3/2006,2
1/3/2007,22
1/3/2008,1317
1/3/2009,1375
1/3/2010,1048
1/3/2011,1138
1/3/2012,1282
1/3/2013,1276
1/3/2014,971
1/3/2015,1000
1/4/1998,1
1/4/1999,1
1/4/2000,1
1/4/2001,2
1/4/2002,1
1/4/2004,5
1/4/2005,2
1/4/2006,2
1/4/2007,28
1/4/2008,1575
1/4/2009,1082
1/4/2010,1219
1/4/2011,1300
1/4/2012,1219
1/4/2013,1480
1/4/2014,1050
1/4/2015,877
1/5/1954,1
1/5/1984,1
1/5/1997,1
1/5/1998,1
1/5/2000,1
1/5/2001,2
1/5/2002,3
1/5/2003,3
1/5/2004,2
1/5/2005,5
1/5/2006,6
1/5/2007,30
1/5/2008,1532
1/5/2009,1398
1/5/2010,1352
1/5/2011,1364
1/5/2012,1443
1/5/2013,1362
1/5/2014,1015
1/5/2015,1043
1/6/1997,1
1/6/2001,1
1/6/2003,1
1/6/2005,1
1/6/2006,6
1/6/2007,24
1/6/2008,1283
1/6/2009,1286
1/6/2010,1429
1/6/2011,1356
1/6/2012,1543
1/6/2013,1113
1/6/2014,1150
1/6/2015,945
1/7/1910,1
1/7/2001,1
1/7/2002,2
1/7/2003,2
1/7/2004,3
1/7/2006,3
1/7/2007,24
1/7/2008,1445
1/7/2009,1299
1/7/2010,1541
1/7/2011,1332
1/7/2012,1389
1/7/2013,1198
1/7/2014,1058
1/7/2015,958
1/8/2002,1
1/8/2003,1
1/8/2005,2
1/8/2006,2
1/8/2007,21
1/8/2008,1589
1/8/2009,1434
1/8/2010,1495
1/8/2011,1183
1/8/2012,1165
