Offense,Average days,Standard Deviation
,6.884441849,60.99316623
FELONY ASSAULT,3.481033771,106.8878142
ASSAULT 3 & RELATED OFFENSES,3.220853931,122.344027
OTHER STATE LAWS (NON PENAL LAW),35.94536213,207.4452702
ABORTION,35.75,61.92081637
"LOITERING/GAMBLING (CARDS, DIC",0.304347826,1.281277455
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",9.181818182,46.40170748
POSSESSION OF STOLEN PROPERTY,5.110587358,58.15405697
BURGLARY,5.112836055,203.8463489
MISCELLANEOUS PENAL LAW,6.633106736,129.9508136
OFFENSES AGAINST PUBLIC ADMINI,4.197468961,131.1657226
THEFT OF SERVICES,25.68322534,76.26631761
OFFENSES INVOLVING FRAUD,5.024637763,82.77988422
FRAUDULENT ACCOSTING,3.995461422,34.32273159
ALCOHOLIC BEVERAGE CONTROL LAW,0.897333333,13.66392304
JOSTLING,0.234113712,1.473979484
DANGEROUS DRUGS,1.06035309,43.2490382
OFFENSES AGAINST MARRIAGE UNCL,2,1.414213562
NEW YORK CITY HEALTH CODE,0.093333333,0.29089899
LOITERING FOR DRUG PURPOSES,0.086956522,0.281771335
RAPE,217.2472806,695.0373124
ADMINISTRATIVE CODE,7.51101167,160.8105942
ENDAN WELFARE INCOMP,21.11805556,68.39859653
DISORDERLY CONDUCT,1.297101449,15.1021047
FORTUNE TELLING,6.454545455,13.46621116
OFFENSES AGAINST THE PERSON,4.858231337,105.3120835
CRIMINAL TRESPASS,2.692649866,93.50711365
LOITERING/DEVIATE SEX,0.0625,0.242061459
FORGERY,19.31939148,156.7431355
SEX CRIMES,137.1863935,609.702898
OFF. AGNST PUB ORD SENSBLTY &,18.05552788,245.7729422
HOMICIDE-NEGLIGENT-VEHICLE,13.80645161,55.85700985
ESCAPE 3,1.784431138,9.305281329
OTHER OFFENSES RELATED TO THEF,23.43920238,229.2375284
KIDNAPPING & RELATED OFFENSES,19.20529514,323.6681913
NYS LAWS-UNCLASSIFIED VIOLATION,0.333333333,0.471404521
OTHER STATE LAWS,15.38626609,134.9490324
LOITERING,13.75,21.64688199
ROBBERY,2.669792856,161.5420306
OTHER TRAFFIC INFRACTION,4.692307692,8.19366186
ANTICIPATORY OFFENSES,33.01052632,135.4871518
UNLAWFUL POSS. WEAP. ON SCHOOL,0.06779661,0.406072832
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,3.590361446,11.15178536
THEFT-FRAUD,175.7903772,685.3466885
CRIMINAL MISCHIEF & RELATED OF,9.115747946,198.1994705
NYS LAWS-UNCLASSIFIED FELONY,21.57496671,163.9555814
OFFENSES AGAINST PUBLIC SAFETY,2.759259259,25.09906436
GRAND LARCENY OF MOTOR VEHICLE,5.463597966,135.0504549
PETIT LARCENY OF MOTOR VEHICLE,12.22797357,105.8635759
DANGEROUS WEAPONS,1.318283534,32.85904935
GRAND LARCENY,31.19961268,283.2692571
HARRASSMENT 2,7.908333209,198.9404094
BURGLAR'S TOOLS,1.451352442,19.20584569
PROSTITUTION & RELATED OFFENSES,7.249406176,61.29580186
FRAUDS,96.01738072,464.5240957
UNDER THE INFLUENCE OF DRUGS,0.333333333,0.471404521
DISRUPTION OF A RELIGIOUS SERV,3.510638298,11.57376406
ARSON,24.14891639,339.8899743
UNAUTHORIZED USE OF A VEHICLE,19.81855014,92.07732485
OFFENSES RELATED TO CHILDREN,7.164933135,118.5848684
INTOXICATED & IMPAIRED DRIVING,1.006140291,32.42284217
GAMBLING,0.922886802,15.04775674
MURDER & NON-NEGL. MANSLAUGHTER,201.7695671,1351.390989
VEHICLE AND TRAFFIC LAWS,4.108422121,234.5681872
CHILD ABANDONMENT/NON SUPPORT,15.01089918,210.8789828
PETIT LARCENY,8.069737664,160.7102083
