Store type,Shoplifting type,Counts
NULL,GRAND LARCENY ,18
NULL,PETIT LARCENY ,456
ABANDONED BUILDING,PETIT LARCENY ,3
AIRPORT TERMINAL,GRAND LARCENY ,8
AIRPORT TERMINAL,PETIT LARCENY ,211
ATM,GRAND LARCENY ,1
ATM,PETIT LARCENY ,4
BANK,PETIT LARCENY ,4
BAR/NIGHT CLUB,GRAND LARCENY ,3
BAR/NIGHT CLUB,PETIT LARCENY ,45
BEAUTY & NAIL SALON,GRAND LARCENY ,24
BEAUTY & NAIL SALON,PETIT LARCENY ,549
BOOK/CARD,GRAND LARCENY ,11
BOOK/CARD,PETIT LARCENY ,517
BUS TERMINAL,PETIT LARCENY ,101
CANDY STORE,GRAND LARCENY ,18
CANDY STORE,PETIT LARCENY ,1024
CEMETERY,GRAND LARCENY ,1
CHAIN STORE,GRAND LARCENY ,2692
CHAIN STORE,PETIT LARCENY ,52764
CHECK CASHING BUSINESS,GRAND LARCENY ,10
CHECK CASHING BUSINESS,PETIT LARCENY ,84
CHURCH,PETIT LARCENY ,4
CLOTHING/BOUTIQUE,GRAND LARCENY ,2823
CLOTHING/BOUTIQUE,PETIT LARCENY ,21172
COMMERCIAL BUILDING,GRAND LARCENY ,800
COMMERCIAL BUILDING,PETIT LARCENY ,8566
CONSTRUCTION SITE,GRAND LARCENY ,1
CONSTRUCTION SITE,PETIT LARCENY ,1
DEPARTMENT STORE,GRAND LARCENY ,3363
DEPARTMENT STORE,PETIT LARCENY ,65264
DEPARTMENT STORE,"ROBBERY, BEGAN AS SHOPLIFTING ",1
DOCTOR/DENTIST OFFICE,GRAND LARCENY ,19
DOCTOR/DENTIST OFFICE,PETIT LARCENY ,98
DRUG STORE,GRAND LARCENY ,791
DRUG STORE,PETIT LARCENY ,23712
DRY CLEANER/LAUNDRY,GRAND LARCENY ,8
DRY CLEANER/LAUNDRY,PETIT LARCENY ,173
FACTORY/WAREHOUSE,GRAND LARCENY ,12
FACTORY/WAREHOUSE,PETIT LARCENY ,169
FAST FOOD,GRAND LARCENY ,4
FAST FOOD,PETIT LARCENY ,364
FERRY/FERRY TERMINAL,PETIT LARCENY ,5
FOOD SUPERMARKET,GRAND LARCENY ,64
FOOD SUPERMARKET,PETIT LARCENY ,13549
GAS STATION,GRAND LARCENY ,10
GAS STATION,PETIT LARCENY ,1015
GROCERY/BODEGA,GRAND LARCENY ,99
GROCERY/BODEGA,PETIT LARCENY ,9072
GROCERY/BODEGA,"ROBBERY, BEGAN AS SHOPLIFTING ",1
GYM/FITNESS FACILITY,GRAND LARCENY ,5
GYM/FITNESS FACILITY,PETIT LARCENY ,40
HIGHWAY/PARKWAY,PETIT LARCENY ,1
HOSPITAL,GRAND LARCENY ,1
HOSPITAL,PETIT LARCENY ,21
HOTEL/MOTEL,GRAND LARCENY ,1
HOTEL/MOTEL,PETIT LARCENY ,21
JEWELRY,GRAND LARCENY ,475
JEWELRY,PETIT LARCENY ,356
LIQUOR STORE,GRAND LARCENY ,15
LIQUOR STORE,PETIT LARCENY ,809
LOAN COMPANY,GRAND LARCENY ,2
MARINA/PIER,GRAND LARCENY ,3
MARINA/PIER,PETIT LARCENY ,2
MOSQUE,PETIT LARCENY ,1
OPEN AREAS ,GRAND LARCENY ,2
OPEN AREAS ,PETIT LARCENY ,7
OTHER,GRAND LARCENY ,45
OTHER,PETIT LARCENY ,721
OTHER HOUSE OF WORSHIP,PETIT LARCENY ,1
PARK/PLAYGROUND,GRAND LARCENY ,2
PARK/PLAYGROUND,PETIT LARCENY ,13
PARKING LOT/GARAGE ,GRAND LARCENY ,3
PARKING LOT/GARAGE ,PETIT LARCENY ,9
PARKING LOT/GARAGE ,GRAND LARCENY ,1
PARKING LOT/GARAGE ,PETIT LARCENY ,17
PHOTO/COPY,GRAND LARCENY ,13
PHOTO/COPY,PETIT LARCENY ,58
PRIVATE/PAROCHIAL SCHOOL,GRAND LARCENY ,1
PRIVATE/PAROCHIAL SCHOOL,PETIT LARCENY ,6
PUBLIC BUILDING,GRAND LARCENY ,5
PUBLIC BUILDING,PETIT LARCENY ,72
PUBLIC SCHOOL,PETIT LARCENY ,7
RESIDENCE - APT. HOUSE,GRAND LARCENY ,14
RESIDENCE - APT. HOUSE,PETIT LARCENY ,134
RESIDENCE - PUBLIC HOUSING,GRAND LARCENY ,4
RESIDENCE - PUBLIC HOUSING,PETIT LARCENY ,130
RESIDENCE-HOUSE,GRAND LARCENY ,5
RESIDENCE-HOUSE,PETIT LARCENY ,55
RESTAURANT/DINER,GRAND LARCENY ,17
RESTAURANT/DINER,PETIT LARCENY ,446
SHOE,GRAND LARCENY ,49
SHOE,PETIT LARCENY ,1130
SMALL MERCHANT,GRAND LARCENY ,233
SMALL MERCHANT,PETIT LARCENY ,2274
SOCIAL CLUB/POLICY,GRAND LARCENY ,1
SOCIAL CLUB/POLICY,PETIT LARCENY ,6
STORAGE FACILITY,GRAND LARCENY ,4
STORAGE FACILITY,PETIT LARCENY ,52
STORE UNCLASSIFIED,GRAND LARCENY ,273
STORE UNCLASSIFIED,PETIT LARCENY ,4517
STORE UNCLASSIFIED,"ROBBERY, BEGAN AS SHOPLIFTING ",1
STREET,GRAND LARCENY ,18
STREET,PETIT LARCENY ,492
SYNAGOGUE,PETIT LARCENY ,1
TAXI ,PETIT LARCENY ,1
TELECOMM. STORE,GRAND LARCENY ,375
TELECOMM. STORE,PETIT LARCENY ,2278
TRANSIT - NYC SUBWAY,PETIT LARCENY ,112
TRANSIT FACILITY ,PETIT LARCENY ,12
TUNNEL,PETIT LARCENY ,3
VARIETY STORE,GRAND LARCENY ,41
VARIETY STORE,PETIT LARCENY ,2235
VIDEO STORE,GRAND LARCENY ,38
VIDEO STORE,PETIT LARCENY ,480
