('1', -0.739023099909)
('5', -0.525386751777)
('6', -0.776151144182)
('7', -0.690174579803)
('9', -0.961574835827)
('10', -0.720978750152)
('13', -0.804858434102)
('14', -0.964608998538)
('17', -0.800122186654)
('18', -0.0025451730141)
('19', -0.729555716974)
('20', -0.649327588215)
('22', -0.887345362864)
('23', -0.806709997878)
('24', -0.724172494135)
('25', 0.0396801356443)
('26', -0.976631167099)
('28', -0.548311344053)
('30', -0.919729468004)
('32', -0.829079471753)
('33', -0.742594039718)
('34', -0.432209727208)
('40', -0.120010895526)
('41', 0.696949993946)
('42', -0.618687410391)
('43', -0.807846818012)
('44', -0.582182560431)
('45', -0.476901383167)
('46', -0.831875983369)
('47', -0.364715392671)
('48', 0.52369498474)
('49', -0.767442171812)
('50', -0.560958136406)
('52', -0.0584278423303)
('60', -0.707089775163)
('61', -0.886088075865)
('62', -0.745601979257)
('63', -0.292175222032)
('66', -0.963365614055)
('67', 0.167733315076)
('68', -0.866959078658)
('69', -0.509573978895)
('70', -0.636479573838)
('71', -0.773038934345)
('72', -0.867529771481)
('73', -0.417019270185)
('75', 0.0591225534532)
('76', -0.89164074764)
('77', -0.558846189922)
('78', 0.267737698011)
('79', -0.791766578822)
('81', -0.276363563768)
('83', -0.777051369418)
('84', -0.626951481929)
('88', -0.646474747696)
('90', 0.0881238663832)
('94', 0.697460847387)
('100', 0.16185000333)
('101', -0.0334686749697)
('102', -0.651202011813)
('103', 0.585963694619)
('104', -0.386999938286)
('105', -0.777438343372)
('106', -0.579386335938)
('107', -0.94554029146)
('108', -0.802740519469)
('109', -0.797483472757)
('110', -0.492340701527)
('111', -0.947891750142)
('112', -0.649998605471)
('113', -0.532852570333)
('114', -0.465426220037)
('115', -0.458345386588)
('120', -0.95461948956)
('121', 0.774816500744)
('122', -0.69227731042)
('123', -0.923999440662)
